Name,Mileage (Km),Year,Motor,Price
Mazda 3 Skyactiv Touring Sedan 2015,101000,2015,2000,49900000
Peugeot 2008 1.6 Active 2020,9500,2020,1600,72900000
Mercedes benz Clase A 200 Aut 2015,60000,2015,1600,69900000
Suzuki Celerio 1.0 A.A 2015,26000,2015,1000,25900000
Chevrolet NHR 2022,100,2022,3000,95800000
Renault Logan Privilege 2019,72000,2019,1600,36000000
Volkswagen Jetta 2.0 Trendline 2015,78700,2015,2000,35500000
Volvo Xc 90 2.5 T Automatica 2012,60620,2012,2500,79990000
Mg 3 1.5 Comfort 2015,81000,2015,1500,26500000
Mercedes benz Clase Cla 200 Aut 2017,19863,2017,1600,82990000
Nissan March 1.6 Sense Mecanico 2018,84200,2018,16,31900000
Chevrolet SAIL LS 2018,42930,2018,1400,26500000
Bmw Serie 5 520I 2012,51950,2012,2000,64500000
Bmw Serie 3 318i Mecanico 1993,192300,1993,1800,15500000
Renault CLIO 1.6 Rs Dynamique 2010,89294,2010,1600,20500000
Fiat Tempra Slx 2.0 1994,170000,1994,2000,6500000
Chery Grand Tiggo 2.0 4x2 Fe 2015,91302,2015,2000,35800000
Kia Carens 1.8 Gls Mecanico 2003,135134,2003,1800,15900000
Jeep Grand Cherokee Limited 5.2 1997,223672,1997,5200,15600000
Toyota Land Cruiser Fzj73 Cabinado 1987,90000,1987,4000,130000000
Jeep Grand Cherokee 4.7 Laredo Ven 2006,43600,2006,4700,29900000
Mazda CX-9 3.7 V6 4x4 Automatica 2009,117840,2009,3700,39900000
Skoda Favorit 1.3 Glx Mecanico 1994,187477,1994,1300,5600000
Bmw Serie 3 325i Automatico 2006,90514,2006,2500,39600000
Mazda 3 Skyactiv Touring Sedan 2015,101000,2015,2000,49900000
Peugeot 2008 1.6 Active 2020,9500,2020,1600,72900000
Mercedes benz Clase A 200 Aut 2015,60000,2015,1600,69900000
Suzuki Celerio 1.0 A.A 2015,26000,2015,1000,25900000
Chevrolet NHR 2022,100,2022,3000,95800000
Renault Logan Privilege 2019,72000,2019,1600,36000000
Volkswagen Jetta 2.0 Trendline 2015,78700,2015,2000,35500000
Volvo Xc 90 2.5 T Automatica 2012,60620,2012,2500,79990000
Mg 3 1.5 Comfort 2015,81000,2015,1500,26500000
Mercedes benz Clase Cla 200 Aut 2017,19863,2017,1600,82990000
Nissan March 1.6 Sense Mecanico 2018,84200,2018,16,31900000
Chevrolet SAIL LS 2018,42930,2018,1400,26500000
Bmw Serie 5 520I 2012,51950,2012,2000,64500000
Bmw Serie 3 318i Mecanico 1993,192300,1993,1800,15500000
Renault CLIO 1.6 Rs Dynamique 2010,89294,2010,1600,20500000
Fiat Tempra Slx 2.0 1994,170000,1994,2000,6500000
Chery Grand Tiggo 2.0 4x2 Fe 2015,91302,2015,2000,35800000
Kia Carens 1.8 Gls Mecanico 2003,135134,2003,1800,15900000
Jeep Grand Cherokee Limited 5.2 1997,223672,1997,5200,15600000
Toyota Land Cruiser Fzj73 Cabinado 1987,90000,1987,4000,130000000
