year	category	expenditure	sex
2008	Food	6443	1
2008	Alcoholic Beverages	444	1
2008	Housing	17109	1
2008	Apparel	1801	1
2008	Transportation	8604	1
2008	Healthcare	2976	1
2008	Entertainment	2835	1
2008	Personal Care	616	1
2008	Reading	116	1
2008	Education	1046	1
2008	Tobacco Products	317	1
2008	Miscellaneous	840	1
2008	Cash Contributions	1737	1
2008	Personal Insurance	5605	1
2007	Food	6113	1
2007	Alcoholic Beverages	457	1
2007	Housing	16920	1
2007	Apparel	1881	1
2007	Transportation	8758	1
2007	Healthcare	2853	1
2007	Entertainment	2698	1
2007	Personal Care	588	1
2007	Reading	118	1
2007	Education	945	1
2007	Tobacco Products	323	1
2007	Miscellaneous	808	1
2007	Cash Contributions	1821	1
2007	Personal Insurance	5336	1
2006	Food	6111	1
2006	Alcoholic Beverages	497	1
2006	Housing	16366	1
2006	Apparel	1874	1
2006	Transportation	8508	1
2006	Healthcare	2766	1
2006	Entertainment	2376	1
2006	Personal Care	585	1
2006	Reading	117	1
2006	Education	888	1
2006	Tobacco Products	327	1
2006	Miscellaneous	846	1
2006	Cash Contributions	1869	1
2006	Personal Insurance	5270	1
2005	Food	5931	1
2005	Alcoholic Beverages	426	1
2005	Housing	15167	1
2005	Apparel	1886	1
2005	Transportation	8344	1
2005	Healthcare	2664	1
2005	Entertainment	2388	1
2005	Personal Care	541	1
2005	Reading	126	1
2005	Education	940	1
2005	Tobacco Products	319	1
2005	Miscellaneous	808	1
2005	Cash Contributions	1663	1
2005	Personal Insurance	5204	1
2004	Food	5781	1
2004	Alcoholic Beverages	459	1
2004	Housing	13918	1
2004	Apparel	1816	1
2004	Transportation	7801	1
2004	Healthcare	2574	1
2004	Entertainment	2218	1
2004	Personal Care	581	1
2004	Reading	130	1
2004	Education	905	1
2004	Tobacco Products	288	1
2004	Miscellaneous	690	1
2004	Cash Contributions	1408	1
2004	Personal Insurance	4823	1
2003	Food	5340	1
2003	Alcoholic Beverages	391	1
2003	Housing	13432	1
2003	Apparel	1640	1
2003	Transportation	7781	1
2003	Healthcare	2416	1
2003	Entertainment	2060	1
2003	Personal Care	527	1
2003	Reading	127	1
2003	Education	783	1
2003	Tobacco Products	290	1
2003	Miscellaneous	606	1
2003	Cash Contributions	1370	1
2003	Personal Insurance	4055	1
2002	Food	5375	1
2002	Alcoholic Beverages	376	1
2002	Housing	13283	1
2002	Apparel	1749	1
2002	Transportation	7759	1
2002	Healthcare	2350	1
2002	Entertainment	2079	1
2002	Personal Care	526	1
2002	Reading	139	1
2002	Education	752	1
2002	Tobacco Products	320	1
2002	Miscellaneous	792	1
2002	Cash Contributions	1277	1
2002	Personal Insurance	3899	1
2001	Food	5321	1
2001	Alcoholic Beverages	349	1
2001	Housing	13011	1
2001	Apparel	1743	1
2001	Transportation	7633	1
2001	Healthcare	2182	1
2001	Entertainment	1953	1
2001	Personal Care	485	1
2001	Reading	141	1
2001	Education	648	1
2001	Tobacco Products	308	1
2001	Miscellaneous	750	1
2001	Cash Contributions	1258	1
2001	Personal Insurance	3737	1
2000	Food	5158	1
2000	Alcoholic Beverages	372	1
2000	Housing	12319	1
2000	Apparel	1856	1
2000	Transportation	7417	1
2000	Healthcare	2066	1
2000	Entertainment	1863	1
2000	Personal Care	564	1
2000	Reading	146	1
2000	Education	632	1
2000	Tobacco Products	319	1
2000	Miscellaneous	776	1
2000	Cash Contributions	1192	1
2000	Personal Insurance	3365	1
1999	Food	5031	1
1999	Alcoholic Beverages	318	1
1999	Housing	12057	1
1999	Apparel	1743	1
1999	Transportation	7011	1
1999	Healthcare	1959	1
1999	Entertainment	1891	1
