YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1992,146925,147223,146805,148032,149010,149800,150761,151067,152588,153521,153583,155614
1993,157555,156266,154752,158979,160605,160127,162816,162506,163258,164685,166594,168161
1994,167518,169649,172766,173106,172329,174241,174781,177295,178787,180561,180703,181524
1995,182413,179488,181013,181686,183536,186081,185431,186806,187366,186565,189055,190774
1996,189135,192266,194029,194744,196205,196136,196187,196218,198859,200509,200174,201284
1997,202371,204286,204990,203399,201699,204675,207014,207635,208326,208078,208936,209363
1998,209666,209552,210832,213633,214639,216337,214841,213636,215720,219483,221134,223179
1999,223997,226250,227417,229037,231235,231903,233948,236566,237481,237553,240544,245485
2000,243436,247133,249825,245831,246201,248160,247176,247576,251837,251221,250331,250658
2001,252654,252704,250328,254763,255218,254022,252997,254560,249845,267999,260514,256549
2002,256307,257670,257059,261333,257573,259786,262769,265043,260626,261953,263568,265930
2003,267230,263188,267820,267197,267362,270396,273352,277965,276430,274764,278298,277612
2004,278913,280932,286209,282952,288252,284133,287358,287941,293139,295115,296177,299763
2005,296696,300557,301308,303760,301776,310989,313520,310046,310673,310479,313303,313473
2006,322348,320171,320869,322561,321794,323184,324204,325324,323236,322678,323343,326849
2007,327181,327953,330579,329560,334202,331076,332342,334169,335442,337530,341133,336189
2008,337412,334584,335193,334843,337947,338311,336771,334045,328343,314830,301332,294025
2009,298673,297631,292300,293614,296501,302169,302802,309023,301033,304154,306675,308413
2010,308299,308628,316003,318707,315604,314925,315632,317408,320080,323900,327745,329627
2011,332357,334710,338007,339884,339303,341600,341373,342288,345496,347924,349304,349744
2012,352862,357379,358719,356849,356018,352043,353891,358450,361470,361991,362876,364488
2013,367009,372291,369081,367514,369493,371041,373554,372489,372505,373663,373914,377032
2014,373033,378581,382601,386689,387100,388106,388359,391305,389860,390506,391805,388569
2015,385648,385157,391420,391356,394718,395464,398193,398105,396248,394503,396240,397052
2016,394749,398105,396911,398190,400143,404756,403730,403968,405958,407395,406061,412610
2017,416081,415503,414620,416889,414540,416505,416744,417179,426501,426933,431158,433282
2018,432148,434106,433232,435610,439996,438191,440703,439278,438985,444038,445242,434803
2019,440751,439996,447167,448709,449552,450927,454012,456500,452849,455486,457658,458055
2020,460586,459610,434281,379892,444631,476343,481627,483716,493327,493991,488652,484782
2021,520162,504458,559871,562269,548987,550782,,,,,,
